constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,SC,ST,Minority,Others,Total
karanjia (st),30,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.85,6209.55,7.2,924.75,7382.35
udala (st),31,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.05,6140.35,0.8,1279.9,8364.1
badasahi (sc),32,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434.85,4218.25,27.8,1400.95,7081.85
baripada (st),33,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.65,4869.55,0,756.4,5811.6
morada,34,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.3,4409.75,2.3000000000000003,2434.2,7695.55
jaleswar,35,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,1485.5,205.4,1201.2,4252.1
bhograi,36,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124.4,128.9,96.39999999999999,1491.8,2841.5
basta,37,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538.1,668.6,131.1,1833.4,4171.2
balasore,38,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,822.4,212.9,20.1,886.8,1942.2
remuna (sc),39,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.9,447.8,14.600000000000001,1053.6,2494.9
attabira (sc),4,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.3,577,0.4,1088.9,2408.6
nilgiri,40,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,720.7,3583,0.3,1149,5453
soro (sc),41,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,137.6,14,1306.3,2305.9
simulia,42,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140.3,277.7,27.900000000000002,2004.8,3450.7
bhandaripokhari,43,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016.7,159.4,61.8,3025,4262.9
bhadrak,44,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,811.8,218,234,2407.8,3671.6
basudevpur,45,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.6,3.3,16.900000000000002,3832.7,4426.5
dhamnagar,46,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179,34.7,117.9,3591.8,4923.4
chandabal,47,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,849.9,8.299999999999999,48.1,4248.7,5155
binjharpur (sc),48,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2418.6,0.75,58.65,2927.15,5405.15
bari,49,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.15,6.1000000000000005,26.55,1920.05,2773.85
bhatli,5,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319.4,1494.1,0.7,1719,4533.2
barachana,50,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.65,98,21,135.55,325.2
dharmasala,51,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.55,28.6,0.6,717.6,913.35
jajpur,52,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.85,16.55,205.45000000000002,1986.75,3001.6
korei,53,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.75,137.75,69.4,1159.75,1946.65
sukinda,54,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.65,646.55,1.05,490.65,1340.9
dhenkanal,55,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.8,277.1,0.4,1827,2739.3
hindol (sc),56,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1525.2,397.2,0,1929.6,3852
kamakhyanagar,57,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014.7,311.7,0,1742.5,3068.9
parjanga,58,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,1718.2,0,2759.6,5952.8
pallahara,59,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.7,1857.3999999999999,0,690.5,3205.6
brajarajnagar,6,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1439.2,2129.4,0.8999999999999999,2578.2,6147.7
talcher,60,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,20.8,0,8.799999999999999,42
angul,61,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.4,162.8,0,821.5,1459.7
chhendipada (sc),62,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.09999999999997,130,0,610,1018.1
athamallik,63,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.7,1732.9,2.4,1701.1,4309.1
birmaharajpur (sc),64,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2701,918.1,10.4,4889.5,8519
sonepur,65,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3114.55,1296.25,1.3,6552.7,10964.8
loisingha (sc),66,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1793.85,1095.85,14.950000000000001,3817.85,6722.5
patnagarh,67,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898.1,5057.25,8.05,3418.8,10382.2
bolangir,68,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236.4,1412.05,8.2,1923.7,4580.35
titlagarh,69,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1802.1,2749.1,10.9,3388.8,7950.9
jharsuguda,7,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,909,2672.7,0,1865.3,5447
kantabanji,70,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2149.85,3913.2000000000003,0.3,3798,9861.35
nuapada,71,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495.5,4008.6,17.55,1574.65,7096.3
kharia,72,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,938.35,2442.3,2.6,2299,5682.25
umerkote (st),73,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024.3,4218.4,0,818.95,6061.65
jharigam (st),74,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.1,6273.3,16.799999999999997,2483.85,9928.05
nabarangpur (st),75,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324.75,5533.6,70.5,1656.4,8585.25
dabugam (st),76,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,860.7,4802.75,22.900000000000002,1342.4,7028.75
lanjigarh (st),77,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2094.05,5744.35,0.45,1517.6,9356.45
junagarh,78,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,902.9,1733.25,0,2251.15,4887.3
dharamgarh,79,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112.15,2688.3,1.3,2813.8,6615.55
talsara (st),8,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,943.55,6863.4,43.449999999999996,2116.75,9967.15
bhawanipatna (sc),80,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.15,1688.65,2.6,1258.15,3562.55
narla,81,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.2,2036.55,7.9,2190.15,5189.8
baliguda (st),82,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.9,722.8,73.2,2021.2,3475.1
g. udayagiri (st),83,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.75,87.45,40.45,585.35,941
phulbani (st),84,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.9,917.45,2,1886.1499999999999,3808.5
kantamal,85,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1653.3,988.2,0.3,4325.5,6967.3
boudh,86,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2083.7,995.5,1.7000000000000002,3554.5,6635.4
baramba,87,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.5,181.5,6.2,3903.2,4617.4
banki,88,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,156.9,0,2017.7,2266.9
athagarh,89,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.8,200.1,5.4,2286.5,2572.8
sundargarh (st),9,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169.95,2370.15,0,2864.4,6404.5
choudwar- cuttack,91,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,4,0.2,61.50000000000001,66.3
niali (sc),92,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,4.7,9.2,111.4,186.1
cuttack sadar (sc),93,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.2999999999999998,5.1,157.9,203.3
salipur,94,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2,94.6,43.8,482,699.6
mahanga,95,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,4.2,64.8,1468.2,1630.6
patkura,96,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.6,4.6,19.2,439.1,642.5
kendrapara (sc),97,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.2,3.6,93.8,1031.8,1596.4
aul,98,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,1.2,235.4,4628,6145.6
rajanagar,99,AC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.8,54.3,116.4,3955.7,4627.2
aska,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.25,489.3,7.75,4721.2,5891.5
balasore,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7979.35,10744.95,495.7,9016.75,28236.75
bargarh,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,7803.1,12830.4,8.2,12887.5,33529.2
berhampur,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.8,990.9,121,3237.3,4537
bhadrak (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6419.3,839,520.6,20417.1,28196
bhubaneswar,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,94,97.2,2858,3133.7
bolangir,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,14695.85,16441.8,54.1,27789.35,58981.1
cuttack,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.1,664.3,16.9,10744,12297.3
dhenkanal,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,5795.2,4745.2,0.4,9779.5,20320.3
jagatsinghpur (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352.6,20.8,369.5,6731.2,8474.1
jajpur (sc),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,5052.2,934.3,382.7,9337.5,15706.7
kalahandi,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111.3,20342,32.4,13904.5,42390.2
kandhamal,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6730.5,4954.7,118.6,17302.8,29106.6
kendrapara,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3314.4,206.2,593.1,15202.5,19316.2
keonjhar (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850,27997.1,20.85,8987.3,41855.25
koraput (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2391.25,11658.35,200,9297.1,23546.7
mayurbhanj (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3803.55,41988.6,41.35,9711.25,55544.75
nabarangpur (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,6178.15,28328.6,114.85,9061.65,43683.25
puri,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393.2,343.15,104.65,11670.4,13511.4
sambalpur,NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2412.2,7539.2,28.05,8782.5,18761.95
sundargarh (st),NA,PC,PMAGY,2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271.85,26412.95,85.9,9202.85,38973.55
